car_model,car_class,car_type,body,capacity,manufacturer,price
BR8,Open Wheel,Race car,Single seat formula car,1 (driver),Benefactor,3400000
DR1,Open Wheel,Race car,Single seat IndyCar,1 (driver),Declasse,2997000
PR4,Open Wheel,Race car,Single seat formula car,1 (driver),Progen,3515000
R88,Open Wheel,Race car,Single seat formula car,1 (driver),Ocelot,3115000
811,Super,Civilian car,Hypercar,2 (driver and passenger),Pfister,1135000
Autarch,Super,Civilian car,Hypercar,2 (driver and passenger),Overflod,1955000
Adder,Super,Civilian car,Hypercar,2 (driver and passenger),Truffade,1000000
Banshee 900R,Super,Civilian car,2-door wide-body car,2 (driver and passenger),Bravado,565000
Cyclone,Super,Civilian car,Electric hypercar,2 (driver and passenger),Coil,1890000
Deveste Eight,Super,Concept car,Hypercar,2 (driver and passenger),Principe,1795000
Emerus,Super,Civilian car,Supercar,2 (driver and passenger),Progen,2750000
Entity XF,Super,Civilian car,Super car,2 (driver and passenger),Overflod,795000
Entity XXR,Super,Civilian car,Hypercar,2 (driver and passenger),Overflod,2305000
ETR1,Super,Civilian car,Two-door endurance racing car,2 (driver and passenger),Emperor,1995000
Furia,Super,Civilian car,2-door berlinetta,2 (driver and passenger),Grotti,2740000
FMJ,Super,Civilian car,Two-door supercar,2 (driver and passenger),Vapid,1750000
GP1,Super,Civilian car,Two-door supercar,2 (driver and passenger),Progen,1260000
Itali GTB Custom,Super,Civilian car,Supercar,2 (driver and passenger),Progen,495000
Krieger,Super,Civilian car,Supercar,2 (driver and passenger),Benefactor,2875000
Nero,Super,Civilian car,Hypercar,2 (driver and passenger),Truffade,1440000
Nero Custom,Super,Civilian car,GT hypercar,2 (driver and passenger),Truffade,605000
Osiris,Super,Civilian car,Hypercar,2 (driver and passenger),Pegassi,1950000
RE-7B,Super,Civilian car,LMP1 Race Car/ Group C Prototype,2 (driver and passenger),Annis,2475000
Reaper,Super,Civilian car,Hypercar,2 (driver and passenger),Pegassi,1595000
Rocket Voltic,Super,Civilian car,Custom roadster,2 (driver and passenger),Coil,3830400
S80RR,Super,Racing car,Group C Prototype Race Car,1 (driver),Annis,2575000
SC1,Super,Civilian car,2-door coupe,2 (driver and passenger),Ubermacht,1603000
Scramjet,Super,Custom vehicle,2-door sports car,2 (driver and passenger),Declasse,4628400
T20,Super,Civilian vehicle,Two-door hypercar,2 (driver and passenger),Progen,2200000
Taipan,Super,Civilian car,Hypercar,2 (driver and passenger),Cheval,1980000
Tempesta,Super,Civilian car,Two-door supercar,2 (driver and passenger),Pegassi,1329000
Tezeract,Super,Civilian car,2-door hypercar,2 (driver and passenger),Pegassi,2825000
Thrax,Super,Civilian car,Hypercar,2 (driver and passenger),Truffade,2325000
Tigon,Super,Civilian car,2-door supercar,2 (driver and passenger),Lampadati,2310000
Turismo R,Super,Civilian car,Hypercar,2 (driver and passenger),Grotti,500000
Tyrant,Super,Civilian car,2-door supercar,2 (driver and passenger),Overflod,2515000
Tyrus,Super,Civilian car,Two-door endurance racing car,2 (driver and passenger),Progen,2550000
Vacca,Super,Civilian car,2-door sports car,2 (driver and passenger),Pegassi,240000
Vagner,Super,Civilian vehicle,Hypercar,2 (driver and passenger),Dewbauchee,1535000
Vigilante,Super,Custom car,Custom weaponized car,2 (driver and passenger),Grotti,3750000
Visione,Super,Concept car,Hypercar,2 (driver and passenger),Grotti,2250000
Voltic,Super,Civilian car,2-door roadster,2 (driver and passenger),Coil,150000
X80 Proto,Super,Concept car,Hypercar,2 (driver and passenger),Grotti,2700000
XA-21,Super,Civilian vehicle,Hypercar,2 (driver and passenger),Ocelot,2375000
Zentorno,Super,Civilian car,Hypercar,2 (driver and passenger),Pegassi,725000
Zorrusso,Super,Civilian car,Hypercar,2 (driver and passenger),Pegassi,1925000
8F Drafter,Sports,Civilian car,2-door coupe,2 (driver and passenger),Obey,718000
9F,Sports,Civilian car,2-door sports car/coupe,2 (driver and passenger),Obey,120000
9F Cabrio,Sports,Civilian car,2-door cabrio,2 (driver and passenger),Obey,130000
Bestia GTS,Sports,Civilian car,2-door shooting brake,2 (driver and passenger),Grotti,610000
Buffalo S,Sports,Civilian car,4-door sedan,4 (driver and three passengers),Bravado,96000
Carbonizzare,Sports,Civilian car,Two-door grand tourer,2 (driver and passenger),Grotti,195000
Comet Retro Custom,Sports,Civilian car,Sports car,2 (driver and passenger),Pfister,645000
Comet Safari,Sports,Civilian car,Off-road sports car,2 (driver and passenger),Pfister,710000
Comet SR,Sports,Civilian car,2-door sports car,2 (driver and passenger),Pfister,1145000
Coquette D10,Sports,Civilian car,2-door targa top,2 (driver and passenger),Invetero,1510000
Drift Tampa,Sports,Civilian car,2-door wide-body drifting car,2 (driver and passenger),Declasse,995000
Elegy Retro Custom,Sports,Civilian car,Sports car,2 (driver and passenger),Annis,904000
Flash GT,Sports,Civilian car,3-door hatchback,2 (driver and passenger),Vapid,1675000
