model,car_class,car_type,body,capacity,manufacturer,price
BR8,Open Wheel,Race car,Single seat formula car,1 (driver),Benefactor,"$3,400,000"
DR1,Open Wheel,Race car,Single seat IndyCar,1 (driver),Declasse,"$2,997,000"
PR4,Open Wheel,Race car,Single seat formula car,1 (driver),Progen,"$3,515,000"
R88,Open Wheel,Race car,Single seat formula car,1 (driver),Ocelot,"$3,115,000"
811,Super,Civilian car,Hypercar,2 (driver and passenger),Pfister,"$1,135,000"
Autarch,Super,Civilian car,Hypercar,2 (driver and passenger),Overflod,"$1,955,000"
Adder,Super,Civilian car,Hypercar,2 (driver and passenger),Truffade,"$1,000,000"
Banshee 900R,Super,Civilian car,2-door wide-body car,2 (driver and passenger),Bravado,"$565,000"
Cyclone,Super,Civilian car,Electric hypercar,2 (driver and passenger),Coil,"$1,890,000"
Deveste Eight,Super,Concept car,Hypercar,2 (driver and passenger),Principe,"$1,795,000"
Emerus,Super,Civilian car,Supercar,2 (driver and passenger),Progen,"$2,750,000"
Entity XF,Super,Civilian car,Super car,2 (driver and passenger),Overflod,"$795,000"
Entity XXR,Super,Civilian car,Hypercar,2 (driver and passenger),Overflod,"$2,305,000"
ETR1,Super,Civilian car,Two-door endurance racing car,2 (driver and passenger),Emperor,"$1,995,000"
Furia,Super,Civilian car,2-door berlinetta,2 (driver and passenger),Grotti,"$2,740,000"
FMJ,Super,Civilian car,Two-door supercar,2 (driver and passenger),Vapid,"$1,750,000"
GP1,Super,Civilian car,Two-door supercar,2 (driver and passenger),Progen,"$1,260,000"
Itali GTB Custom,Super,Civilian car,Supercar,2 (driver and passenger),Progen,"$495,000"
Krieger,Super,Civilian car,Supercar,2 (driver and passenger),Benefactor,"$2,875,000"
Nero,Super,Civilian car,Hypercar,2 (driver and passenger),Truffade,"$1,440,000"
Nero Custom,Super,Civilian car,GT hypercar,2 (driver and passenger),Truffade,"$605,000"
Osiris,Super,Civilian car,Hypercar,2 (driver and passenger),Pegassi,"$1,950,000"
RE-7B,Super,Civilian car,LMP1 Race Car/ Group C Prototype,2 (driver and passenger),Annis,"$2,475,000"
Reaper,Super,Civilian car,Hypercar,2 (driver and passenger),Pegassi,"$1,595,000"
Rocket Voltic,Super,Civilian car,Custom roadster,2 (driver and passenger),Coil,"$3,830,400"
S80RR,Super,Racing car,Group C Prototype Race Car,1 (driver),Annis,"$2,575,000"
SC1,Super,Civilian car,2-door coupe,2 (driver and passenger),Ubermacht,"$1,603,000"
Scramjet,Super,Custom vehicle,2-door sports car,2 (driver and passenger),Declasse,"$4,628,400"
T20,Super,Civilian vehicle,Two-door hypercar,2 (driver and passenger),Progen,"$2,200,000"
Taipan,Super,Civilian car,Hypercar,2 (driver and passenger),Cheval,"$1,980,000"
Tempesta,Super,Civilian car,Two-door supercar,2 (driver and passenger),Pegassi,"$1,329,000"
Tezeract,Super,Civilian car,2-door hypercar,2 (driver and passenger),Pegassi,"$2,825,000"
Thrax,Super,Civilian car,Hypercar,2 (driver and passenger),Truffade,"$2,325,000"
Tigon,Super,Civilian car,2-door supercar,2 (driver and passenger),Lampadati,"$2,310,000"
Turismo R,Super,Civilian car,Hypercar,2 (driver and passenger),Grotti,"$500,000"
Tyrant,Super,Civilian car,2-door supercar,2 (driver and passenger),Overflod,"$2,515,000"
Tyrus,Super,Civilian car,Two-door endurance racing car,2 (driver and passenger),Progen,"$2,550,000"
Vacca,Super,Civilian car,2-door sports car,2 (driver and passenger),Pegassi,"$240,000"
Vagner,Super,Civilian vehicle,Hypercar,2 (driver and passenger),Dewbauchee,"$1,535,000"
Vigilante,Super,Custom car,Custom weaponized car,2 (driver and passenger),Grotti,"$3,750,000"
Visione,Super,Concept car,Hypercar,2 (driver and passenger),Grotti,"$2,250,000"
Voltic,Super,Civilian car,2-door roadster,2 (driver and passenger),Coil,"$150,000"
X80 Proto,Super,Concept car,Hypercar,2 (driver and passenger),Grotti,"$2,700,000"
XA-21,Super,Civilian vehicle,Hypercar,2 (driver and passenger),Ocelot,"$2,375,000"
Zentorno,Super,Civilian car,Hypercar,2 (driver and passenger),Pegassi,"$725,000"
Zorrusso,Super,Civilian car,Hypercar,2 (driver and passenger),Pegassi,"$1,925,000"
8F Drafter,Sports,Civilian car,2-door coupe,2 (driver and passenger),Obey,"$718,000"
9F,Sports,Civilian car,2-door sports car/coupe,2 (driver and passenger),Obey,"$120,000"
9F Cabrio,Sports,Civilian car,2-door cabrio,2 (driver and passenger),Obey,"$130,000"
Bestia GTS,Sports,Civilian car,2-door shooting brake,2 (driver and passenger),Grotti,"$610,000"
Buffalo S,Sports,Civilian car,4-door sedan,4 (driver and three passengers),Bravado,"$96,000"
Carbonizzare,Sports,Civilian car,Two-door grand tourer,2 (driver and passenger),Grotti,"$195,000"
Comet Retro Custom,Sports,Civilian car,Sports car,2 (driver and passenger),Pfister,"$645,000"
Comet Safari,Sports,Civilian car,Off-road sports car,2 (driver and passenger),Pfister,"$710,000"
